smiles,pka_acidic
CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)n3ncc(C#N)c3n2)c1,9.7
CC(=O)Nc1cccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)[O-],2.92
CC(=O)n1cc(C2=C([O-])CC(C)(C)CC2=O)c2ccccc21,5.2
CC(C(=O)[O-])c1ccc2c(c1)C(=O)c1ccccc1CS2,4.1
CC(C(=O)[O-])c1ccc2c(c1)Cc1ccccc1-2,4.3
CC(C)(C)Cn1c(Cc2ccc(NS(N)(=O)=O)cc2)cc2cnc(C#N)nc21,9.3
CC(C)(C)OC(=O)N1CCC(C(=O)NS(=O)(=O)c2c(Cl)sc(Cl)c2Br)CC1,2.1
CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1,6.865
CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,3.37
CC(C)N(CCCCOCC(=O)[O-])c1cnc(-c2ccccc2)c(-c2ccccc2)n1,3.385
CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21,4.5
CC(NC(=O)c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,6.9
CC(c1cc2ccccc2s1)N(O)C(N)=O,10.2
CC/C(=C(\c1ccccc1)c1ccc(/C=C/C(=O)[O-])cc1)c1ccccc1,4.26
CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,7.6
CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)[O-])c3C[C@H]2C[C@H]1O,3.37
CCN1c2ccc(C#N)cc2N=C(c2ccc(C(=O)[O-])c(F)c2)c2cc3c(cc21)C(C)(C)CCC3(C)C,3
CCOC(=O)c1c(C)cc2nc(COC(=O)NCCO)n(-c3ccccc3S(=O)(=O)NC)c(=O)c2c1C,10.6
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,8.356
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(C(=O)c3ccccc3)s2)cc1,7.9
CC[C@H](C(=O)NO)[C@H](C(=O)N1CCCC[C@H]1C(=O)NC)c1ccc(Cl)cc1,9.2
CCc1cc(Br)ccc1S(=O)(=O)NCc1ccccc1,10.6
CCc1ccc(/C=C2/SC(=S)[N-]C2=O)cc1,5.8
CN(CCO)c1cc2c(=O)n(NS(C)(=O)=O)c(=O)[nH]c2cc1C(F)(F)F,8.3
CN(n1c(=O)[nH]c2cc(Cl)ccc2c1=O)S(C)(=O)=O,8.4
CN1C(=O)N(C[C@H](C(=O)NO)[C@@H](CC2CCCC2)C(=O)N2CCCCC2)C(=O)C1(C)C,9.01
CN1c2ccc(C#N)cc2N=C(c2ccc(C(=O)[O-])c(F)c2)c2cc3c(cc21)C(C)(C)CCC3(C)C,3.4
CN1c2ccc(C#N)cc2N=C(c2ccc(C(=O)[O-])cc2)c2cc3c(cc21)C(C)(C)CCC3(C)C,3.5
CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3C)c2)cnc1N,7.6
COC(=O)/C=C/C(=O)[O-],2.9
COc1cc(Nc2ccccc2C(=O)[O-])cc(OC)c1,4
COc1ccc(Br)c(C=O)c1O,7.5
COc1ccc(C2=C([O-])c3ccccc3C2=O)cc1,4.1
COc1ccc(CNC(=O)[C@@H](NC(=O)[C@H](Cc2ccc(OC)c(OC)c2)NC(=O)Cc2cccc(Oc3ccccc3)c2)C(C)C)c(O)c1,10.91
COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12,9.4
COc1ccc(NS(=O)(=O)c2ccc(-n3cccn3)cc2)cc1OC,8.3
COc1cccc(-c2nnc3n(Cc4ccccc4Cl)c(=O)c4ccccc4n23)c1O,8.4
COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)c2c(Cl)cccc2Cl)C(=O)[O-])cc1,3.41
COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2,8.65
CS(=O)(=O)Nn1c(=O)[nH]c2cc(C(F)(F)F)c(N)cc2c1=O,8.6
CS(=O)(=O)Nn1c(=O)[nH]c2cc(C(F)(F)F)c(N3CCCOCC3)cc2c1=O,8.4
CS(=O)(=O)Nn1c(=O)[nH]c2cc(C(F)(F)F)c(N3CCOCC3)cc2c1=O,8.35
CS(=O)(=O)Nn1c(=O)[nH]c2cc(C(F)(F)F)ccc2c1=O,8.35
CS(=O)(=O)c1ccc(-c2nc3c(c(=O)[nH]2)COCC3)cc1,7.31
C[C@H](C#Cc1ccc(Cc2ccc(F)cc2)s1)N(O)C(N)=O,10.4
Cc1c(-c2ccccc2)c(=O)oc2cc(O)ccc12,7.74
Cc1c(CC(=O)[O-])c2cccnc2n1S(=O)(=O)c1ccc(Cl)cc1,3.86
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,9.46
Cc1ccc(C)n1-c1ccc(C(=O)[O-])c(O)c1,2.3
Cc1ccc(C)n1-c1ccc(Cl)cc1C(=O)[O-],3.35
Cc1ccc(C)n1-c1ccc(SCC(=O)[O-])cc1,3.5
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)[O-])c1,4.2
Cc1ccc2c(=O)c3cccc(CC(=O)[O-])c3oc2c1C,3.8
Cc1ccc2c(c1)C(=O)C(=O)N2,9.8
Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)[O-],4
Cc1nc(-n2ccc([O-])cc2=O)sc1C(=O)NCc1ccccc1,5.2
Cc1nc(C(=O)[O-])ccc1N(C)Cc1cccc(Cl)c1,4.45
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,10.01
Clc1ccc(OCc2nn[n-]n2)c(C2CCCCC2)c1,3.87
Cn1c(=O)n(NS(C)(=O)=O)c(=O)c2ccc(Cl)cc21,6.8
Cn1cc(C(=O)[O-])c(=O)c2ccccc21,6.5
Fc1ccc2c(/C=C/c3nn[n-]n3)c[nH]c2c1,4.94
Ic1cccc(-c2nn[n-]n2)c1,3.7
N#Cc1c(-c2ccc(Cl)cc2)nc(SCC(=O)Nc2ccc(Cl)cc2)[nH]c1=O,3.7
N#Cc1c(-c2ccccc2)nc(SCc2ccccc2)[nH]c1=O,4.5
N#Cc1cccc(Nc2ccccc2C(=O)[O-])c1,3.9
N#Cc1cnc(NC(=O)Nc2ccc(Cl)c(Cl)c2)s1,7.5
N#Cc1csc(NC(=O)Nc2ccc(Cl)c(Cl)c2)n1,8.3
N#Cc1ncc2cc(COc3ccc(C(=O)[O-])cc3)n(CCC3CCCCC3)c2n1,4.2
N#Cc1ncc2cc(COc3cccc(CCC(=O)[O-])c3)n(CCC3CCCCC3)c2n1,4.5
NS(=O)(=O)Oc1ccc2nc(C=C3C4CC5CC(C4)CC3C5)oc2c1,8.26
Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,10.8
O=C(NC(=O)c1ccccc1)c1ccccc1,9.9
O=C(NO)C1c2ccccc2-c2ccccc21,8.7
O=C(NO)C1c2ccccc2Oc2ccccc21,8.4
O=C(Nc1ccc(Cl)cc1)NS(=O)(=O)c1ccc(Cl)cc1,3.4
O=C(Nc1cccc(Cl)c1)c1ccc(Cl)cc1O,6.3
O=C(Nc1cccc(Cl)c1)c1ccccc1O,7.2
O=C(Nc1ccccc1C(=O)[O-])c1ccc(-c2ccccc2)cc1,3.2
O=C(Nc1ccccc1C(=O)[O-])c1cccc(Oc2ccccc2)c1,3.3
O=C(Nc1nccs1)C(CC1CCCC1)c1ccc(Cl)cc1,10.5
O=C(Nc1nnc(-c2ccc(F)cc2)o1)c1ccc(Cl)s1,5.8
O=C(Nc1nnc(-c2cccs2)o1)c1cccc(C(F)(F)F)c1,5.7
O=C([O-])COc1ccc(Cl)cc1C1CCCCC1,3.51
O=C([O-])COc1ccc(Cl)cc1C1CCCCCC1,3.48
O=C([O-])COc1ccc2c(c1)Cc1ccccc1-2,3
O=C([O-])CSc1ncnc2cc(-c3ccc(Br)cc3)sc12,3.5
O=C([O-])c1ccc(-c2ccccc2)cc1,3.9
O=C([O-])c1ccc(-c2nc(-c3cccc(C(F)(F)F)c3)cs2)cc1,4.1
O=C([O-])c1ccc(-c2nn(C(=O)c3c(Cl)cccc3Cl)c3ccccc23)cc1,3.2
O=C([O-])c1ccc(NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(Cl)cc2)cc1,4.2
O=C([O-])c1ccc(NCc2cccc(Oc3ccccc3)c2)cn1,4.45
O=C([O-])c1ccccc1Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,3.9
O=C([O-])c1ccccc1Nc1cc(F)cc(C(F)(F)F)c1,3.9
O=C([O-])c1ccccc1Nc1ccc(CCc2ccc(Cl)c(Cl)c2)cc1,4.39
O=C1CCN(Cc2ccccc2)C(=O)N1,11.7
O=C1CN(c2ccccc2)C(=O)N1,8.3
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1nc(N2CCOCC2)nc2ccccc12,9.3
O=C1c2ccccc2-[n+]2ccc3c([nH]c4ccccc43)c21,8.7
O=Cc1cc(Br)cc(Br)c1O,5.3
O=S(=O)(Nc1cc(F)ccc1F)c1ccc2[nH]c3c(c2c1)CCCC3,7.3
O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,8.2
O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2c1CCOC2,7.87
O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,7.94
O=c1[nH]c2c(Cc3nn[n-]n3)c3ccccc3n2c2ccccc12,4.42
O=c1[nH]c2cc(-c3ccc(F)cc3)ccc2cc1[O-],8.1
O=c1[nH]c2cc(C(F)(F)F)ccc2n1Cc1cc(Cl)ccc1O,9.75
O=c1[nH]c2ccc(-c3ccc(F)cc3)cc2cc1[O-],8.2
O=c1[nH]c2ccccc2c(=O)n1CCCl,10
O=c1cc(CSc2cccc(F)c2F)nc2cc(-c3ccco3)[nH]n12,7.5
O=c1cc(CSc2cccc(F)c2F)nc2cc[nH]n12,7.35
O=c1ccc2nc3ccc(O)cc3oc-2c1,5.8
